name,ingredients,cuisine,diet
Dish_713,"tofu, carrot, beef, basil, pepper, soy sauce",Thai,Vegan
Dish_714,"lentils, noodles, chili, tomato, pepper, onion",Italian,Vegan
Dish_715,"lentils, soy sauce, tofu, tomato",Italian,Vegan
Dish_716,"basil, chicken, beans, beef",French,Vegetarian
Dish_717,"lime, soy sauce, carrot, onion, pepper, chicken",Thai,Vegetarian
Dish_718,"noodles, basil, chicken, lime, tofu",Thai,Vegetarian
Dish_719,"tofu, mint, onion, noodles",Japanese,Vegetarian
Dish_720,"potato, tomato, ginger, yogurt, beef, noodles, spinach",Indian,Vegetarian
Dish_721,"spinach, cheese, pepper, potato, mint, coconut, chili",Mexican,Non-Vegetarian
Dish_722,"garlic, carrot, lime, lentils",Japanese,Vegan
Dish_723,"garlic, soy sauce, coconut, potato",Mexican,Non-Vegetarian
Dish_724,"pepper, chicken, ginger, onion, garlic, noodles, lentils",Japanese,Vegetarian
Dish_725,"pork, noodles, potato, coconut",Chinese,Non-Vegetarian
Dish_726,"noodles, pepper, carrot, rice, potato",Thai,Vegan
Dish_727,"soy sauce, chili, spinach, chicken",Mexican,Non-Vegetarian
Dish_728,"tomato, chili, coconut, pork, tofu, ginger, chicken",Japanese,Vegan
Dish_729,"beef, soy sauce, lentils, potato",Japanese,Vegetarian
Dish_730,"lentils, lime, noodles, spinach, pork, chicken, soy sauce",Japanese,Vegetarian
Dish_731,"lentils, potato, pepper, mint, coconut, chicken, tofu",French,Non-Vegetarian
Dish_732,"beans, lime, chili, beef, pork",French,Vegetarian
Dish_733,"ginger, basil, tofu, beef, soy sauce",Greek,Non-Vegetarian
Dish_734,"carrot, noodles, pepper, mint, pork, basil, onion",Indian,Vegan
Dish_735,"lime, ginger, coconut, rice, carrot",Japanese,Vegan
Dish_736,"noodles, beef, pork, beans, spinach, basil",Chinese,Vegetarian
Dish_737,"beef, ginger, chili, pork, coconut",Indian,Vegetarian
Dish_738,"spinach, tofu, chili, onion, coconut, rice",Greek,Vegan
Dish_739,"tofu, basil, noodles, chicken",Mexican,Vegan
Dish_740,"chicken, basil, spinach, pork, chili",Thai,Vegan
Dish_741,"lentils, soy sauce, mint, beef, pepper",Italian,Non-Vegetarian
Dish_742,"rice, carrot, coconut, soy sauce, noodles, cheese",Greek,Vegan
Dish_743,"pork, chicken, chili, beans, carrot, cheese",Thai,Vegan
Dish_744,"potato, onion, spinach, rice, noodles",French,Vegan
Dish_745,"tomato, onion, lime, beef, yogurt, spinach",Japanese,Vegetarian
Dish_746,"beef, noodles, yogurt, chicken, pepper, spinach",Greek,Vegan
Dish_747,"garlic, rice, lentils, carrot",Mexican,Vegetarian
Dish_748,"garlic, spinach, beans, basil",Indian,Vegan
Dish_749,"pork, chicken, onion, ginger",Mexican,Vegan
Dish_750,"lentils, basil, pork, beans",Mexican,Vegetarian
Dish_751,"noodles, beef, cheese, chili, carrot, onion",Indian,Vegan
Dish_752,"basil, onion, ginger, coconut, pepper",Italian,Non-Vegetarian
Dish_753,"yogurt, tomato, soy sauce, onion, beans",Italian,Vegan
Dish_754,"pepper, carrot, yogurt, tofu, tomato, pork, rice",Indian,Vegan
Dish_755,"soy sauce, noodles, beans, garlic, lentils, yogurt, coconut",Italian,Non-Vegetarian
Dish_756,"potato, lentils, beans, soy sauce",Chinese,Non-Vegetarian
Dish_757,"cheese, potato, pork, chili, ginger, yogurt, mint",Greek,Non-Vegetarian
Dish_758,"tomato, coconut, potato, cheese",Indian,Vegetarian
Dish_759,"potato, pork, yogurt, tomato, coconut, spinach",Italian,Vegetarian
Dish_760,"carrot, cheese, potato, basil, garlic",Italian,Vegetarian
Dish_761,"mint, pepper, basil, ginger, coconut, cheese, beef",Japanese,Vegan
Dish_762,"mint, soy sauce, yogurt, cheese",Indian,Non-Vegetarian
Dish_763,"pork, beef, chicken, soy sauce, rice",Greek,Non-Vegetarian
Dish_764,"beans, coconut, lime, basil",French,Vegetarian
Dish_765,"pepper, yogurt, lentils, lime",Japanese,Non-Vegetarian
Dish_766,"carrot, ginger, chicken, tofu, pork, onion",Indian,Vegetarian
Dish_767,"lime, chili, cheese, chicken",French,Vegetarian
Dish_768,"chicken, chili, pork, pepper, soy sauce, rice",Mexican,Non-Vegetarian
Dish_769,"cheese, coconut, spinach, garlic, ginger, lime, tomato",Thai,Non-Vegetarian
Dish_770,"cheese, beef, garlic, soy sauce",Indian,Non-Vegetarian
Dish_771,"chili, spinach, carrot, lentils",Indian,Vegan
Dish_772,"soy sauce, cheese, potato, mint",Mexican,Vegetarian
Dish_773,"potato, lime, onion, beef, ginger, spinach, basil",Japanese,Vegan
Dish_774,"potato, pork, mint, yogurt, ginger, rice",Greek,Non-Vegetarian
Dish_775,"pork, garlic, chicken, yogurt, coconut, tofu, tomato",French,Non-Vegetarian
Dish_776,"pepper, basil, ginger, potato, soy sauce, onion, coconut",French,Non-Vegetarian
Dish_777,"chili, pork, rice, basil, soy sauce",Mexican,Non-Vegetarian
Dish_778,"soy sauce, rice, lentils, pepper, noodles, yogurt",Greek,Vegetarian
Dish_779,"chili, lentils, lime, soy sauce, tomato, mint",Indian,Non-Vegetarian
Dish_780,"yogurt, carrot, cheese, chili, soy sauce, rice, beef",Thai,Non-Vegetarian
Dish_781,"garlic, coconut, pepper, ginger, basil",Greek,Vegetarian
Dish_782,"garlic, lentils, potato, carrot, tofu, noodles",French,Vegetarian
Dish_783,"soy sauce, ginger, onion, chicken, lime, mint",Greek,Vegan
Dish_784,"beans, lime, cheese, rice, onion, pork",Chinese,Vegetarian
Dish_785,"basil, ginger, pepper, soy sauce, spinach",French,Vegan
Dish_786,"ginger, noodles, lentils, soy sauce, chili, carrot, yogurt",Mexican,Vegetarian
Dish_787,"coconut, spinach, mint, yogurt, cheese, beans",French,Vegetarian
Dish_788,"cheese, coconut, lentils, soy sauce, carrot",Greek,Vegan
Dish_789,"rice, mint, carrot, tomato",Mexican,Vegetarian
Dish_790,"spinach, ginger, beans, garlic",Thai,Vegan
Dish_791,"beef, rice, potato, ginger, tofu, spinach, chili",Mexican,Non-Vegetarian
Dish_792,"chicken, ginger, pepper, soy sauce",Italian,Non-Vegetarian
Dish_793,"tofu, carrot, beef, garlic, pepper, mint",Chinese,Vegan
Dish_794,"rice, chili, soy sauce, pork, coconut, pepper, onion",Japanese,Non-Vegetarian
Dish_795,"garlic, ginger, beans, beef, pork, potato, lime",Greek,Vegan
Dish_796,"noodles, spinach, cheese, ginger, rice",Chinese,Non-Vegetarian
Dish_797,"beef, carrot, potato, lentils, mint, rice",Chinese,Vegetarian
Dish_798,"tomato, soy sauce, cheese, beef, tofu, noodles, rice",Thai,Non-Vegetarian
Dish_799,"garlic, soy sauce, rice, lentils, noodles",Japanese,Vegan
Dish_800,"cheese, pepper, noodles, spinach, basil",Mexican,Non-Vegetarian
Dish_801,"chicken, pork, lime, pepper",Indian,Vegetarian
Dish_802,"garlic, mint, tomato, carrot",Thai,Non-Vegetarian
Dish_803,"beans, pork, lentils, garlic, spinach, ginger, pepper",Mexican,Vegetarian
Dish_804,"chili, onion, cheese, tomato, yogurt, spinach, lime",Thai,Vegan
Dish_805,"lime, pork, noodles, chili, pepper, chicken, soy sauce",French,Vegan
Dish_806,"rice, tomato, soy sauce, spinach, lentils",French,Non-Vegetarian
Dish_807,"noodles, rice, chicken, lime, basil",Italian,Vegan
Dish_808,"rice, ginger, beef, spinach, noodles, tomato, carrot",French,Vegan
Dish_809,"coconut, pepper, potato, basil, spinach, tofu, noodles",Japanese,Vegan
Dish_810,"lime, potato, ginger, rice",Japanese,Vegan
Dish_811,"tofu, chili, rice, chicken, ginger",Thai,Non-Vegetarian
Dish_812,"chili, soy sauce, coconut, garlic, pepper, ginger",Chinese,Non-Vegetarian
Dish_813,"spinach, noodles, garlic, tomato, pork, basil, tofu",Chinese,Non-Vegetarian
Dish_814,"mint, potato, coconut, noodles, pepper, garlic",Indian,Vegetarian
Dish_815,"garlic, rice, carrot, coconut, tomato, beef, soy sauce",French,Vegetarian
Dish_816,"pepper, lime, beans, tofu, tomato",Chinese,Vegan
Dish_817,"potato, beef, tomato, noodles, ginger, basil, rice",French,Non-Vegetarian
Dish_818,"ginger, mint, pork, tofu, pepper, onion",Japanese,Non-Vegetarian
Dish_819,"beef, pepper, carrot, yogurt, basil, cheese, spinach",French,Vegetarian
Dish_820,"basil, soy sauce, lime, onion, chili, beans",Thai,Vegan
Dish_821,"yogurt, cheese, pepper, rice, beans, tomato",Indian,Non-Vegetarian
Dish_822,"noodles, ginger, lime, onion",Indian,Non-Vegetarian
Dish_823,"rice, beef, pork, coconut",Indian,Non-Vegetarian
Dish_824,"tofu, lentils, garlic, tomato, pork",Indian,Non-Vegetarian
Dish_825,"beans, spinach, ginger, lime, pepper, pork",Chinese,Non-Vegetarian
Dish_826,"pork, carrot, garlic, soy sauce, beef, tomato, pepper",Mexican,Vegetarian
Dish_827,"chili, lentils, cheese, rice, tomato",French,Non-Vegetarian
Dish_828,"tofu, carrot, mint, beans, potato",Chinese,Vegan
Dish_829,"rice, garlic, lime, cheese, tofu, pepper, lentils",Chinese,Non-Vegetarian
Dish_830,"ginger, mint, basil, chili, cheese, pork",French,Vegan
Dish_831,"pepper, chili, rice, lime, ginger, chicken",Italian,Vegetarian
Dish_832,"tofu, yogurt, beans, coconut",French,Vegetarian
Dish_833,"pork, chicken, lentils, coconut, beans, mint",Greek,Non-Vegetarian
Dish_834,"spinach, chicken, ginger, mint, lentils, garlic, basil",Greek,Vegan
Dish_835,"mint, tomato, pork, onion, chicken",French,Vegan
Dish_836,"onion, chili, spinach, basil, yogurt",Mexican,Vegan
Dish_837,"lime, soy sauce, basil, tomato, beans, pork, carrot",Thai,Vegetarian
Dish_838,"chili, soy sauce, onion, pork, pepper, ginger",Chinese,Vegetarian
Dish_839,"pepper, tomato, spinach, noodles, yogurt",Indian,Vegetarian
Dish_840,"lime, carrot, basil, pepper",Greek,Vegan
Dish_841,"coconut, tofu, cheese, ginger, yogurt",Thai,Vegetarian
Dish_842,"lentils, carrot, beans, chicken, pepper",Italian,Vegan
Dish_843,"chili, basil, beans, mint",Thai,Vegan
Dish_844,"spinach, potato, chicken, pepper, soy sauce",Mexican,Vegetarian
Dish_845,"cheese, chicken, chili, basil, garlic, mint",Indian,Non-Vegetarian
Dish_846,"potato, soy sauce, yogurt, noodles, beans, garlic",Mexican,Vegan
Dish_847,"pork, tofu, beans, lime, spinach, beef",Thai,Vegetarian
Dish_848,"beans, basil, soy sauce, onion, pork",Japanese,Vegan
Dish_849,"basil, noodles, chicken, carrot, lentils, mint, tomato",Indian,Vegetarian
Dish_850,"mint, basil, pork, onion, ginger",Greek,Vegan
Dish_851,"tomato, coconut, potato, noodles, garlic, pork",Mexican,Vegan
Dish_852,"cheese, coconut, beans, garlic",Greek,Vegetarian
Dish_853,"ginger, coconut, tomato, yogurt, pepper, spinach",Italian,Vegan
Dish_854,"carrot, basil, pepper, beef",Chinese,Vegan
Dish_855,"basil, noodles, carrot, pork, rice, cheese, chili",Mexican,Vegan
Dish_856,"pork, tofu, onion, rice, beans",Indian,Vegan
Dish_857,"beans, carrot, onion, spinach, tomato",Indian,Non-Vegetarian
Dish_858,"soy sauce, tofu, onion, beef, carrot, pork",Indian,Non-Vegetarian
Dish_859,"chicken, pepper, coconut, spinach, rice",French,Non-Vegetarian
Dish_860,"rice, beans, soy sauce, noodles",Chinese,Non-Vegetarian
Dish_861,"coconut, beans, tomato, lime",Italian,Vegan
Dish_862,"garlic, coconut, rice, mint, yogurt, onion",Japanese,Vegan
Dish_863,"chili, spinach, soy sauce, tomato, potato, carrot",Mexican,Non-Vegetarian
Dish_864,"potato, chicken, spinach, cheese",Italian,Non-Vegetarian
Dish_865,"noodles, pepper, chicken, coconut, garlic, tofu",Thai,Non-Vegetarian
Dish_866,"pork, chili, chicken, rice, lentils",Chinese,Non-Vegetarian
Dish_867,"lentils, rice, ginger, mint, pepper, spinach, garlic",French,Vegan
Dish_868,"rice, pepper, garlic, lime, mint, yogurt",Mexican,Vegetarian
Dish_869,"lime, onion, noodles, tofu, spinach, pork",Japanese,Vegan
Dish_870,"tofu, chili, beef, tomato, noodles",Greek,Non-Vegetarian
Dish_871,"noodles, basil, lime, onion, pepper, tomato, chili",Greek,Vegan
Dish_872,"yogurt, pork, carrot, soy sauce, beans",Thai,Vegetarian
Dish_873,"mint, tomato, rice, garlic, pork, spinach",Chinese,Vegan
Dish_874,"garlic, ginger, basil, onion, coconut, soy sauce, rice",Indian,Vegetarian
Dish_875,"lentils, chili, garlic, mint, beans, rice",Indian,Non-Vegetarian
Dish_876,"pork, coconut, noodles, chicken, tofu, basil",Chinese,Non-Vegetarian
Dish_877,"spinach, coconut, beef, tomato, beans, pepper",Thai,Non-Vegetarian
Dish_878,"tomato, potato, onion, noodles",Greek,Vegan
Dish_879,"garlic, tofu, onion, yogurt, rice, ginger",Indian,Vegan
Dish_880,"pepper, mint, tomato, soy sauce, chili",Mexican,Vegetarian
Dish_881,"ginger, beef, carrot, lentils, tofu, potato",French,Vegan
Dish_882,"beans, beef, carrot, cheese",Indian,Non-Vegetarian
Dish_883,"carrot, beef, chili, spinach, potato",Italian,Non-Vegetarian
Dish_884,"beans, beef, garlic, tofu, pork, pepper",Indian,Non-Vegetarian
Dish_885,"soy sauce, garlic, tomato, lentils, coconut, yogurt, tofu",Mexican,Vegan
Dish_886,"pepper, lime, tofu, garlic, yogurt",Italian,Vegetarian
Dish_887,"coconut, spinach, chicken, lime, onion",Greek,Vegan
Dish_888,"chili, potato, mint, yogurt, carrot, cheese",Greek,Vegan
Dish_889,"ginger, pork, cheese, spinach, lime, noodles",Mexican,Vegetarian
Dish_890,"pepper, potato, coconut, rice, beef, ginger",Indian,Vegan
Dish_891,"basil, cheese, ginger, pepper, potato, spinach, soy sauce",Chinese,Non-Vegetarian
Dish_892,"yogurt, noodles, coconut, spinach, mint, cheese",Italian,Vegan
Dish_893,"beans, coconut, basil, cheese",Japanese,Vegan
Dish_894,"cheese, tomato, chili, chicken, rice",Greek,Vegan
Dish_895,"lime, garlic, rice, beef",Indian,Vegan
Dish_896,"pork, basil, lime, tomato, chicken, chili",French,Non-Vegetarian
Dish_897,"pepper, onion, chicken, cheese, garlic, mint, lime",French,Non-Vegetarian
Dish_898,"lime, pepper, onion, tomato",Thai,Vegetarian
Dish_899,"onion, ginger, noodles, tofu, chicken",Thai,Vegan
Dish_900,"pork, onion, chicken, pepper, noodles, soy sauce, carrot",Japanese,Non-Vegetarian
Dish_901,"mint, lentils, ginger, pork",Greek,Vegetarian
Dish_902,"cheese, pepper, lentils, ginger, noodles, basil",Greek,Non-Vegetarian
Dish_903,"rice, lentils, ginger, soy sauce, garlic, onion, noodles",Mexican,Vegan
Dish_904,"beans, yogurt, soy sauce, onion",French,Non-Vegetarian
Dish_905,"garlic, carrot, mint, pepper",Greek,Vegan
Dish_906,"soy sauce, spinach, onion, pork, tomato, coconut",Thai,Vegetarian
Dish_907,"lentils, tofu, yogurt, ginger, cheese, spinach, soy sauce",Italian,Non-Vegetarian
Dish_908,"spinach, tofu, cheese, soy sauce",Greek,Non-Vegetarian
Dish_909,"mint, noodles, coconut, spinach, tofu, beans",Mexican,Vegan
Dish_910,"chicken, potato, soy sauce, cheese, basil",Mexican,Vegan
Dish_911,"tomato, pork, onion, tofu, potato",Chinese,Vegan
Dish_912,"pork, beans, ginger, carrot, potato, beef",Japanese,Non-Vegetarian
Dish_913,"onion, tomato, pepper, cheese, coconut",French,Non-Vegetarian
Dish_914,"tofu, cheese, lentils, spinach, noodles",Indian,Vegetarian
Dish_915,"lime, tomato, tofu, onion, lentils, rice, ginger",Mexican,Non-Vegetarian
Dish_916,"tomato, soy sauce, carrot, coconut",Chinese,Non-Vegetarian
Dish_917,"noodles, onion, chicken, potato, tomato",Chinese,Vegan
Dish_918,"noodles, yogurt, lentils, lime, chili, pork, beef",Japanese,Non-Vegetarian
Dish_919,"pork, yogurt, mint, lime, rice",Italian,Vegan
Dish_920,"lentils, spinach, coconut, tofu, pepper, yogurt, mint",Greek,Vegetarian
Dish_921,"lentils, mint, potato, pork, chili, pepper",Chinese,Non-Vegetarian
Dish_922,"cheese, tomato, basil, rice",Italian,Non-Vegetarian
Dish_923,"beans, carrot, noodles, spinach",Italian,Vegan
Dish_924,"chili, tofu, lentils, coconut, carrot",Indian,Vegetarian
Dish_925,"potato, chicken, noodles, beans",Greek,Vegan
Dish_926,"spinach, onion, pork, carrot",Italian,Non-Vegetarian
Dish_927,"carrot, garlic, basil, pork, tofu",Chinese,Vegetarian
Dish_928,"potato, beef, ginger, soy sauce, chicken, pork",Japanese,Vegan
Dish_929,"yogurt, onion, lime, tomato, garlic",Thai,Non-Vegetarian
Dish_930,"spinach, lime, lentils, onion",Thai,Vegan
Dish_931,"potato, soy sauce, spinach, coconut",Japanese,Vegetarian
Dish_932,"mint, garlic, lime, chicken",Japanese,Vegetarian
Dish_933,"noodles, yogurt, basil, lentils, cheese, garlic, pork",Chinese,Vegan
Dish_934,"lentils, pepper, carrot, coconut, pork, cheese",Mexican,Vegan
Dish_935,"cheese, pepper, chicken, onion, spinach",Thai,Vegetarian
Dish_936,"yogurt, tomato, mint, garlic, beans, carrot",Chinese,Vegan
Dish_937,"tofu, rice, spinach, potato, lime",Mexican,Non-Vegetarian
Dish_938,"lentils, basil, potato, noodles, pork, carrot",Japanese,Vegetarian
Dish_939,"carrot, beef, pepper, mint, tomato",Greek,Non-Vegetarian
Dish_940,"carrot, coconut, chicken, chili, cheese, beef, ginger",French,Non-Vegetarian
Dish_941,"pepper, onion, ginger, cheese, lentils, pork, chili",Mexican,Vegetarian
Dish_942,"mint, pepper, tofu, chili, beans, chicken, ginger",French,Vegan
Dish_943,"chicken, soy sauce, lime, spinach, carrot, beans",Greek,Non-Vegetarian
Dish_944,"carrot, beans, tomato, beef, chili",Indian,Vegan
Dish_945,"tofu, mint, carrot, garlic, chicken, tomato, lentils",Greek,Vegan
Dish_946,"tofu, soy sauce, lentils, pork, chili, potato, noodles",Indian,Non-Vegetarian
Dish_947,"ginger, soy sauce, beef, pepper, pork",Greek,Non-Vegetarian
Dish_948,"soy sauce, lime, pepper, onion, spinach, beef, cheese",French,Non-Vegetarian
Dish_949,"chicken, noodles, yogurt, beef",Chinese,Non-Vegetarian
Dish_950,"garlic, carrot, cheese, beans, basil",Italian,Vegan
Dish_951,"noodles, spinach, cheese, chili, chicken",Italian,Vegetarian
Dish_952,"chili, potato, soy sauce, yogurt, lentils, spinach, pork",Italian,Vegan
Dish_953,"mint, coconut, yogurt, carrot, beef, beans",Italian,Non-Vegetarian
Dish_954,"garlic, lentils, potato, tomato, cheese",Thai,Non-Vegetarian
Dish_955,"garlic, soy sauce, lime, chicken, spinach, chili",French,Vegan
Dish_956,"tomato, ginger, coconut, beef, pork",Thai,Vegetarian
Dish_957,"ginger, yogurt, coconut, basil, chicken",Mexican,Vegetarian
Dish_958,"tomato, chicken, beef, noodles",Indian,Vegan
Dish_959,"lime, onion, lentils, yogurt, rice",Greek,Non-Vegetarian
Dish_960,"tofu, basil, chili, yogurt, onion, cheese",Thai,Vegetarian
Dish_961,"beans, pork, spinach, beef",Italian,Vegetarian
Dish_962,"lentils, noodles, chili, tofu, chicken, cheese, pepper",French,Vegetarian
Dish_963,"carrot, pork, yogurt, lime",Italian,Non-Vegetarian
Dish_964,"carrot, tofu, ginger, chili, pepper, spinach",Indian,Non-Vegetarian
Dish_965,"mint, spinach, onion, coconut, chicken, carrot",Chinese,Vegan
Dish_966,"beef, mint, potato, onion, coconut",Italian,Vegetarian
Dish_967,"chili, beans, mint, pork, tomato, beef, noodles",Indian,Vegan
Dish_968,"tomato, beans, soy sauce, cheese, chili",Chinese,Vegan
Dish_969,"potato, chicken, spinach, lentils",Japanese,Vegetarian
Dish_970,"tofu, beans, soy sauce, basil",Indian,Vegan
Dish_971,"beef, ginger, mint, rice, cheese",Indian,Vegan
Dish_972,"beef, coconut, mint, lime",Japanese,Non-Vegetarian
Dish_973,"carrot, pepper, mint, tofu, chicken",Thai,Non-Vegetarian
Dish_974,"garlic, pork, pepper, soy sauce",Chinese,Non-Vegetarian
Dish_975,"mint, ginger, pepper, onion",Indian,Vegan
Dish_976,"chicken, noodles, spinach, rice, beans",Italian,Vegan
Dish_977,"carrot, beef, tofu, chili",Italian,Vegan
Dish_978,"tomato, tofu, lime, mint, cheese",Mexican,Vegan
Dish_979,"pork, spinach, garlic, pepper, coconut, lentils",Japanese,Vegan
Dish_980,"cheese, pork, garlic, mint, chili, spinach, lime",Chinese,Vegan
Dish_981,"soy sauce, tomato, spinach, yogurt, beef, coconut, ginger",Japanese,Vegan
Dish_982,"garlic, carrot, basil, lime",French,Vegetarian
Dish_983,"tofu, pork, tomato, onion, yogurt",Japanese,Vegetarian
Dish_984,"tomato, basil, beef, noodles, lime, pepper, mint",Greek,Non-Vegetarian
Dish_985,"noodles, tofu, chicken, cheese",Japanese,Vegan
Dish_986,"beef, pepper, chicken, onion, tofu, potato",Italian,Non-Vegetarian
Dish_987,"coconut, onion, carrot, beef, soy sauce, rice",Italian,Vegetarian
Dish_988,"rice, chicken, carrot, coconut, chili, cheese",Thai,Non-Vegetarian
Dish_989,"pork, pepper, tomato, basil, beef",Italian,Vegetarian
Dish_990,"yogurt, lime, mint, chili, tomato, onion, chicken",French,Vegetarian
Dish_991,"tofu, garlic, yogurt, rice, lentils",Chinese,Vegan
Dish_992,"tomato, beef, garlic, yogurt",Indian,Vegetarian
Dish_993,"onion, yogurt, carrot, soy sauce, cheese, potato, lime",Mexican,Vegetarian
Dish_994,"carrot, noodles, tomato, chicken, coconut",Japanese,Vegetarian
Dish_995,"chicken, coconut, carrot, noodles, onion",Italian,Vegetarian
Dish_996,"lentils, carrot, cheese, noodles, beef, ginger",Chinese,Vegan
Dish_997,"tofu, beans, lentils, chicken, garlic, tomato",Greek,Vegetarian
Dish_998,"lime, basil, cheese, tofu",Japanese,Non-Vegetarian
Dish_999,"lime, rice, tofu, soy sauce",Chinese,Non-Vegetarian
Dish_1000,"onion, basil, garlic, pepper, potato, chili, rice",Italian,Vegan
